name,ticker,sector,share_price,shares_outstanding,price_52w_high,revenue,ebitda,ebit,net_income,interest_expense,free_cash_flow,total_debt,cash,shareholders_equity,insider_ownership_pct
Kraft Heinz,KHC,Consumer Staples,25.96,1190,29.19,24990,5760,4780,-5760,,3950,21130,4090,42050,0.27
Conagra Brands,CAG,Consumer Staples,14.83,478.57,20.32,11280,1740,1350,-1920,,978.7,7480,218,6360,0.006
Campbell's,CPB,Consumer Staples,21.88,298.21,34.18,9930,1710,1290,608,,671,7340,402,4030,0.164
General Mills,GIS,Consumer Staples,36.91,533.71,51.68,18420,3450,2890,-87.6,,1630,13940,453.8,7380,0.004
Hershey,HSY,Consumer Staples,172.33,202.84,239.48,11990,2260,1740,1090,,1930,5680,877,4730,0.80
J.M. Smucker,SJM,Consumer Staples,118.05,106.88,119.39,9050,1930,1370,-138.7,,1160,7130,58.6,5540,0.021
Hormel Foods,HRL,Consumer Staples,25.21,550.31,29.78,12220,1250,981,466.88,,692.94,2860,859.86,7960,0.47
McCormick,MKC,Consumer Staples,52.02,268.85,73.84,7390,1450,1220,1620,,1020,4930,331.2,7570,0.005
