name,sector,stage,country,last_valuation,prev_valuation,months_since_last_round,arr,arr_prev,gross_margin,net_revenue_retention,customers,monthly_net_burn,cash_on_hand,tam,market_growth,founder_ownership_pct
Zepto,Quick-commerce,Pre-IPO,India,60000,,9,11110,4454,,,,,,,,
Meesho,E-commerce,Public,India,52500,,7,9390,7615,,,,,,,,
Rapido,Mobility,Late,India,25800,,2,934,648,,,,21.5,,,,
Cred,Fintech,Late,India,31300,,14,2735,2358,,,,121.4,,,,
Cars24,Used cars,Late,India,28400,,18,6233,6917,,,,,,,,
ShareChat,Social media,Late,India,23200,,12,723,718,,,,,,,,
Udaan,B2B commerce,Late,India,15500,,13,4561,5655,,,,,,,,
OfBusiness,B2B commerce,Pre-IPO,India,43000,,15,19296,15343,,,,,,,,
